"","StnLocation","geometry"
"1","Aboiteau",c(-64.29736, 46.22978)
"2","Alberton",c(-64.0592, 46.795366)
"3","Alder Point",c(-60.2840000001644, 46.308499999917)
"4","Antigonish",c(-62.7119, 45.6748)
"5","Antigonish Harbour",c(-61.89256, 45.67172)
"6","Arichat",c(-61.0176800001176, 45.5105500000629)
"7","Aspy Bay North Harbour",c(-60.47023000043, 46.9070199997656)
"8","Aspy Bay/Digwall",c(-60.4604, 46.9032)
"9","Aulds Cove",c(-61.43549, 45.6482133333333)
"10","Back Bay",c(-66.8637999999852, 45.0560999999882)
"11","Baddeck",c(-60.7475200002057, 46.0999000000951)
"12","Baie Ste Anne",c(-65.06838889, 47.07891667)
"13","Baie Ste-Anne",c(-65.06838889, 47.07891667)
"14","Baie de Bouctouche",c(-64.71331, 46.47568)
"15","Baie du Village",c(-64.7643333333333, 46.6841666666667)
"16","Ballantyne's Cove",c(-61.91898, 45.85872)
"17","Ballantynes Cove",c(-61.9193075, 45.858625)
"18","Barachois Harbour",c(-63.26453, 45.73212)
"19","Barrachois Harbour",c(-63.265355, 45.7321575)
"20","Barrachois Harbour comm wharf",c(-63.26847, 45.73169)
"21","Barrachois Harbour marina",c(-63.26466, 45.73206)
"22","Bas Caraquet",c(-64.8720333333333, 47.8030666666667)
"23","Bas-Caraquet",c(-64.872355, 47.8031375)
"24","Basin Head",c(-62.1078244433333, 46.38298111)
"25","Bathurst",c(-65.62685575, 47.657764)
"26","Bay De Cocagne",c(-64.57497, 46.35558)
"27","Bay St. Lawrence",c(-60.4647000001435, 47.0001000000257)
"28","Bayfield",c(-61.75408, 45.6454066666667)
"29","Beaver Harbour",c(-65.2978999998042, 45.0108666666247)
"30","Bedec",c(-64.76375, 46.6846944)
"31","Bedeque",c(-63.78836667, 46.3154)
"32","Bedford Mill Cove",c(-63.6712000000298, 44.714099999913)
"33","Bedford, BBYC",c(-63.6639369998426, 44.7258400000313)
"34","Belledune",c(-65.840567335, 47.909315335)
"35","Ben Eoin",c(-60.4313699996415, 45.9813099997093)
"36","Bertrand",c(-65.046805, 47.78578)
"37","Bertrand Wharf",c(-65.07112, 47.76722)
"38","Bideford",c(-63.9166175, 46.6172425)
"39","Big Bras Dor",c(-60.4250000001477, 46.2811700002949)
"40","Blacks Harbour",c(-66.7947999998269, 45.0559000000699)
"41","Blanche",c(-65.4359729997988, 43.5463650000275)
"42","Bliss Harbour ManOWar",c(-66.8664000001855, 45.0295999999596)
"43","Borden",c(-63.701045, 46.249515)
"44","Bouctouche",c(-64.71296, 46.47567)
"45","Bouctouche leases",c(-64.6652, 46.503416)
"46","Bouctouche marina",c(-64.71332, 46.47567)
"47","Boutilier's Point",c(-63.9486699999363, 44.6566800002334)
"48","Brudenell/Montague",c(-65.5718193, 46.1929269)
"49","Camp Cove",c(-65.8405699998253, 43.7235999999705)
"50","Canso",c(-60.9953500003818, 45.3381700000794)
"51","Cap Pele",c(-64.2597, 46.23505)
"52","Cap St. Louis",c(-64.91494, 46.75952)
"53","Cap-de-Cocagne",c(-64.60391667, 46.38372222)
"54","Cape Canso",c(-60.9982290001281, 45.3394539999454)
"55","Cape Tormentine",c(-63.777155, 46.1345375)
"56","Caraquet",c(-64.92672, 47.79652)
